date,ticker,adj_close,adj_high,adj_low
7/1/2013,A,29.99418563,30.11804324,29.52627909
7/2/2013,A,29.6501367,30.20061499,29.553803
7/3/2013,A,29.70518453,29.90473291,29.39554049
7/5/2013,A,30.43456826,30.47929462,29.86344704
7/8/2013,A,30.52402098,30.73733132,30.3588775
7/9/2013,A,30.68916447,30.9368797,30.51025902
7/10/2013,A,31.17771395,31.41166722,30.62723566
7/11/2013,A,31.45983407,31.63873951,31.26028569
7/12/2013,A,31.480477,31.61809658,31.36611514
7/15/2013,A,31.72819223,31.84172838,31.43231015
7/16/2013,A,31.59057266,31.97590746,31.49767945
7/17/2013,A,31.3841433,31.72131125,31.35661939
7/18/2013,A,31.58369168,31.68690636,31.34285743
7/19/2013,A,31.79012104,31.84172838,31.43919113
7/22/2013,A,32.20297975,32.23738465,31.72131125
7/23/2013,A,31.97590746,32.23050367,31.8658118
7/24/2013,A,32.17545584,32.20986073,31.99310991
7/25/2013,A,32.10664605,32.27178954,31.92085963
7/26/2013,A,31.37726233,32.03783627,31.2617995
7/29/2013,A,31.19835688,31.44607211,30.95064165
7/30/2013,A,30.86118893,31.37726233,30.840546
7/31/2013,A,30.77861719,31.17083297,30.73045034
8/1/2013,A,31.68002538,31.79012104,31.18459492
8/2/2013,A,31.91397865,32.00343138,31.6456893
8/5/2013,A,31.6112156,31.92774061,31.5148819
8/6/2013,A,31.7075493,31.80044251,31.3841433
8/7/2013,A,31.84516887,31.96902648,31.39102428
8/8/2013,A,31.54928679,32.03095529,31.40478624
8/9/2013,A,31.803883,31.96902648,31.52176288
8/12/2013,A,31.9621455,32.00343138,31.45983407
8/13/2013,A,32.2855515,32.32683737,31.81764495
8/14/2013,A,32.00343138,32.34059933,31.90709768
8/15/2013,A,32.31307541,33.14567382,32.23738465
8/16/2013,A,32.19609878,32.49198085,32.01031235
8/19/2013,A,31.95526453,32.29931345,31.94150257
8/20/2013,A,32.36124226,32.52631694,31.7694781
8/21/2013,A,32.26490856,32.50574281,32.0928841
8/22/2013,A,33.00805425,33.25576948,32.20297975
8/23/2013,A,32.80850587,33.02869718,32.71217217
8/26/2013,A,32.75345804,33.16975725,32.60895749
8/27/2013,A,32.31995639,32.60895749,32.20297975
8/28/2013,A,32.16169388,32.31995639,32.00343138
8/29/2013,A,32.20297975,32.36124226,31.94150257
8/30/2013,A,32.0928841,32.32683737,31.90709768
9/3/2013,A,32.29243248,32.69152923,32.07568165
9/4/2013,A,32.93924446,33.00117327,32.16169388
9/5/2013,A,32.80850587,33.09062599,32.73969608
9/6/2013,A,32.63648141,32.88419663,32.43005205
9/9/2013,A,32.99429229,33.06206993,32.54014771
9/10/2013,A,33.40715101,33.48972275,33.0562211
9/11/2013,A,33.68927113,33.730557,33.18007871
9/12/2013,A,33.45531786,33.67550917,33.36586513
9/13/2013,A,33.3452222,33.45531786,33.18695969
9/16/2013,A,33.5378896,33.84065266,33.42779394
9/17/2013,A,33.62734232,33.93698636,33.45531786
9/18/2013,A,33.93698636,33.95762929,33.22824556
9/19/2013,A,35.0792288,36.79259247,34.9202782
9/20/2013,A,35.88430329,36.04944678,35.0792288
9/23/2013,A,35.55401632,35.9462321,35.35446794
9/24/2013,A,35.50584947,35.72604079,35.23061033
9/25/2013,A,35.66411198,35.87054134,35.39575382
9/26/2013,A,35.84301742,35.86366036,35.40951577
9/27/2013,A,35.60906415,35.93322181,35.45043381
9/30/2013,A,35.34697923,35.59871869,35.00213065
10/1/2013,A,35.79528238,35.91942787,34.9676458
10/2/2013,A,35.56768232,35.66423992,35.27800952
10/3/2013,A,35.21593677,35.56768232,35.1124822
10/4/2013,A,35.71251873,35.7676945,35.22283374
10/7/2013,A,35.26421557,35.58147627,35.22283374
10/8/2013,A,34.57451842,35.40215501,34.4089911
10/9/2013,A,34.45037293,34.74694271,34.06414252
10/10/2013,A,35.16765797,35.31249437,34.68486996
